Order Number,CustomerID,Sales Channel,Order Date,Order Shipping Country,Order Items Gross,Order Shipping Gross GBP,Order Gross Total GBP,Order Net Total GBP,Order Status,Order Shipping Service,Order Discount Code
#0004698,6241,Gymshark USA Shopify Store,17/02/2019,United States,38.8,3.88,42.68,42.68,Billed,Standard (4-7 Working Days),
#0001272,6242,Gymshark UK Shopify Store,06/12/2018,United Kingdom,215,0,215,179.18,Billed,Next Working Day,
#0001726,6243,Gymshark UK Shopify Store,03/09/2018,United Kingdom,58,0,58,48.34,Billed,Next Working Day,
#0014280,6244,Gymshark FRA Shopify Store,20/08/2018,France,173.85,0,173.85,144.87,Billed,Standard (2-3 Working Days),PARTFR10
#0002627,6246,Gymshark SWE Shopify Store,03/05/2019,Sweden,52.06,0,52.06,41.65,Billed,Standard (3-5 Working Days),
#0008949,6247,Gymshark USA Shopify Store,08/03/2019,United States,27.49,3.82,31.31,31.31,Billed,Standard (4-7 Working Days),
#0010984,6249,Gymshark USA Shopify Store,18/01/2018,United States,30.49,7.26,37.75,37.75,Billed,Standard (7-14 Working Days),
#0013837,6252,Gymshark DE Shopify Store,20/11/2018,Germany,52.2,0,52.2,43.87,Billed,Standard (2-3 Working Days),
#0004372,6253,Gymshark USA Shopify Store,06/06/2016,,56.89,12.63,69.52,69.52,fulfilled,Shipping,
#0004999,6255,Gymshark UK Shopify Store,15/10/2018,United Kingdom,76.5,0,76.5,63.75,Billed,Next Working Day,SBAUG10-3VF6U8
#0012501,6255,Gymshark UK Shopify Store,21/10/2018,United Kingdom,140,0,140,116.66,Billed,Next Working Day,
#0001612,6255,Gymshark UK Shopify Store,19/11/2018,United Kingdom,47.78,0,47.78,39.82,Billed,Standard (2 Working Days),AFSBUK10-HWNBXY
#0011338,6255,Gymshark UK Shopify Store,19/11/2018,United Kingdom,68.94,0,68.94,57.45,Billed,Standard (2 Working Days),AFSBUK10-X2JA2U
#0003911,6255,Gymshark UK Shopify Store,06/03/2019,United Kingdom,168.3,0,168.3,114.01,Closed,Next Working Day,AFSBUK10-3M4937
#0003738,6255,Gymshark UK Shopify Store,12/05/2019,United Kingdom,65,0,65,54.17,Billed,Next Working Day,
#0011154,6256,Gymshark USA Shopify Store,07/11/2015,Canada,51.29,5.91,57.21,57.21,fulfilled,Shipping,
#0001767,6256,Gymshark USA Shopify Store,20/04/2016,Canada,97.28,0,97.28,97.28,fulfilled,Shipping,
#0000144,6256,Gymshark USA Shopify Store,16/09/2016,Canada,86.7,0,86.7,86.7,fulfilled,Standard (7-14 Working Days),
#0007125,6256,Gymshark ROW Shopify Store,27/10/2016,Canada,71.07,12.11,83.19,83.19,fulfilled,Express (1-2 Working Days),
#0013197,6256,Gymshark USA Shopify Store,22/12/2016,Canada,60.87,0,60.87,60.87,fulfilled,Express (1-2 Working Days),
#0001551,6256,Gymshark USA Shopify Store,25/04/2017,Canada,39.62,7.92,47.55,47.55,fulfilled,Standard (7-14 Working Days),
#0004011,6256,Gymshark USA Shopify Store,05/05/2017,Canada,71.15,0,71.15,71.15,fulfilled,Standard (7-14 Working Days),
#0009323,6256,Gymshark USA Shopify Store,15/05/2017,Canada,0,0,0,0,fulfilled,Standard (7-14 Working Days),CUSTOM DISCOUNT
#0012091,6256,Gymshark USA Shopify Store,23/05/2017,Canada,62.65,0,62.65,62.65,fulfilled,Standard (7-14 Working Days),500KSTRONG
#0005802,6256,Gymshark USA Shopify Store,13/07/2017,Canada,109.21,0,109.21,109.21,fulfilled,Standard (7-14 Working Days),
#0001793,6256,Gymshark USA Shopify Store,23/08/2017,Canada,0,0,0,0,fulfilled,Express (1-2 Working Days),CUSTOM DISCOUNT
#0004785,6256,Gymshark USA Shopify Store,20/11/2017,Canada,63.95,0,63.95,63.95,Billed,Standard (7-14 Working Days),
#0007522,6256,Gymshark USA Shopify Store,03/04/2018,Canada,92.49,0,92.49,92.49,Billed,Standard (7-14 Working Days),
#0002820,6256,Gymshark USA Shopify Store,26/04/2018,Canada,20.08,0,20.08,20.08,Billed,Standard (7-14 Working Days),
#0005821,6257,Gymshark USA Shopify Store,20/01/2017,United States,110.29,0,110.29,110.29,fulfilled,Express (1-2 Working Days),
#0008585,6257,Gymshark USA Shopify Store,15/02/2017,United States,129.78,0,129.78,129.78,fulfilled,Express (1-2 Working Days),USWELCOME-9832ETED
#0004761,6257,Gymshark USA Shopify Store,02/07/2018,United States,91.08,0,91.08,91.08,Billed,Standard (7-14 Working Days),
#0001319,6258,Gymshark UK Shopify Store,25/11/2016,United Kingdom,24,4,28,23.33,fulfilled,Standard (3-5 Working Days),
#0007667,6258,Gymshark UK Shopify Store,29/12/2016,United Kingdom,32,4,36,30,Unfulfilled,Standard (3-5 Working Days),
#0000193,6258,Gymshark UK Shopify Store,03/03/2017,United Kingdom,36,0,36,30,fulfilled,Standard (3-5 Working Days),
#0013961,6258,Gymshark UK Shopify Store,06/04/2017,United Kingdom,30.4,4,34.4,28.67,fulfilled,Standard (3-5 Working Days),SAVEFIVE
#0005430,6258,Gymshark UK Shopify Store,13/07/2017,United Kingdom,40,0,40,33.33,fulfilled,Standard (3-5 Working Days),
#0010209,6258,Gymshark UK Shopify Store,26/10/2017,United Kingdom,64,0,64,53.33,Billed,Standard (3-5 Working Days),
#0003546,6258,Gymshark UK Shopify Store,20/11/2017,United Kingdom,59.2,0,59.2,49.34,Billed,Standard (3-5 Working Days),
#0007882,6258,Gymshark UK Shopify Store,14/12/2017,United Kingdom,68,0,68,56.66,Billed,Standard (3-5 Working Days),
#0002792,6258,Gymshark UK Shopify Store,14/05/2018,United Kingdom,65,6,71,59.16,Billed,Next Working Day,
#0006674,6258,Gymshark UK Shopify Store,24/12/2018,United Kingdom,65,0,65,54.17,Billed,Standard (2 Working Days),
#0008871,6259,Gymshark EU Shopify Store,09/11/2015,Denmark,25.27,4.71,29.98,23.99,fulfilled,Shipping,
#0009245,6260,Gymshark EU Shopify Store,25/10/2018,Switzerland,119.5,0,119.5,119.5,Billed,Standard (3-5 Working Days),
#0009574,6260,Gymshark EU Shopify Store,22/01/2019,Switzerland,260.25,16.76,277.01,277.01,Billed,Express (1-2 Working Days),
#0010816,6261,Gymshark AUS Shopify Store,22/09/2017,Australia,111.47,0,111.47,111.47,Billed,Express (2-4 Working Days),
#0001948,6263,Gymshark EU Shopify Store,16/01/2016,France,38.13,4.79,42.93,35.77,fulfilled,Shipping,
#0007315,6267,Gymshark UK Shopify Store,21/11/2018,United Kingdom,28.9,4,32.9,27.41,Billed,Standard (2 Working Days),
#0000770,6267,Gymshark UK Shopify Store,11/05/2019,Guernsey,35,5,40,40,Billed,Standard (2 Working Days),
#0003167,6269,Gymshark UK Shopify Store,20/11/2017,United Kingdom,15,4,19,15.83,Billed,Standard (3-5 Working Days),
#0000903,6270,Gymshark USA Shopify Store,12/12/2017,United States,35.98,11.24,47.22,47.22,Billed,Express (1-2 Working Days),
#0007451,6271,Gymshark UK Shopify Store,18/04/2016,United Kingdom,35,4.99,39.99,33.33,fulfilled,Shipping,
#0010186,6275,Gymshark USA Shopify Store,22/07/2017,United States,55.37,7.69,63.06,63.06,fulfilled,Standard (7-14 Working Days),USWELCOME-45825DDC
#0007651,6279,Gymshark UK Shopify Store,27/09/2018,United Kingdom,52.19,0,52.19,43.49,Billed,Next Working Day,SBFRESHERS18-DZNKEJ
#0013103,6279,Gymshark UK Shopify Store,19/11/2018,United Kingdom,28.34,4,32.34,26.95,Billed,Standard (2 Working Days),AFSBUK10-NSVYDV
#0013104,6279,Gymshark UK Shopify Store,28/01/2019,United Kingdom,54,0,54,45,Billed,Next Working Day,AFSBUK10-H4TEJ4
#0009973,6279,Gymshark UK Shopify Store,03/02/2019,United Kingdom,38.7,0,38.7,32.25,Billed,Standard (2 Working Days),AFSBUK-UDAPXZ
#0008681,6280,Gymshark UK Shopify Store,09/02/2016,United Kingdom,47.68,2.49,50.17,41.81,fulfilled,Shipping,
#0005591,6280,Gymshark UK Shopify Store,10/03/2016,United Kingdom,39.83,2.49,42.32,35.27,fulfilled,Shipping,
#0011429,6283,Gymshark CAN Shopify Store,19/11/2018,Canada,14.66,2.96,17.62,17.62,Billed,Standard (5-10 Working Days),AFSBCAN10-VQD4WP
#0010535,6285,Gymshark USA Shopify Store,19/11/2018,United States,8.88,3.9,12.78,12.78,Billed,Standard (4-7 Working Days),
#0001181,6288,Gymshark AUS Shopify Store,07/12/2018,Australia,0,0,0,0,Closed,Express (2-4 Working Days),CUSTOM DISCOUNT
#0013642,6288,Gymshark AUS Shopify Store,23/02/2019,Australia,0,0,0,0,Billed,Failed Shipment Mapping,DISCOUNT
#0009060,6289,Gymshark UK Shopify Store,09/06/2017,United Kingdom,62.5,0,62.5,52.08,fulfilled,Standard (3-5 Working Days),
#0010127,6289,Gymshark UK Shopify Store,03/07/2017,United Kingdom,24,4,28,23.33,fulfilled,Standard (3-5 Working Days),
#0011955,6289,Gymshark UK Shopify Store,05/09/2017,United Kingdom,76,0,76,63.34,Billed,Standard (3-5 Working Days),
#0001755,6289,Gymshark UK Shopify Store,16/03/2018,United Kingdom,50.4,0,50.4,42,Billed,Standard (3-5 Working Days),
#0011084,6289,Gymshark UK Shopify Store,12/04/2018,United Kingdom,20,6,26,21.67,Billed,Next Working Day,
#0004855,6290,Gymshark EU Shopify Store,04/11/2015,France,40.74,4.5,45.24,37.7,fulfilled,Shipping,
#0004397,6290,Gymshark EU Shopify Store,02/04/2016,France,99.89,0,99.89,83.24,fulfilled,Shipping,
#0001665,6290,Gymshark EU Shopify Store,04/07/2016,France,81.82,0,81.82,68.19,fulfilled,Shipping,
#0012259,6290,Gymshark EU Shopify Store,19/11/2016,France,53.04,7.83,60.87,50.72,fulfilled,Standard (3-5 Working Days),
#0008701,6290,Gymshark EU Shopify Store,24/11/2016,France,18.26,7.83,26.09,21.74,fulfilled,Standard (3-5 Working Days),
#0007500,6291,Gymshark USA Shopify Store,22/04/2016,Australia,44.79,6.99,51.78,51.78,fulfilled,Shipping,
#0003875,6294,Gymshark USA Shopify Store,10/01/2019,United States,46.88,3.91,50.79,50.79,Billed,Standard (4-7 Working Days),
#0011748,6297,Gymshark CAN Shopify Store,19/11/2018,Canada,23.67,2.96,26.63,19.46,Closed,Standard (5-10 Working Days),
#0012027,6297,Gymshark CAN Shopify Store,04/12/2018,Canada,5.96,2.98,8.94,8.94,Billed,Standard (5-10 Working Days),CAN-BF50-N78Y3G
#0005702,6298,Gymshark UK Shopify Store,02/07/2018,United Kingdom,68,0,68,56.66,Billed,Standard (3-5 Working Days),
#0013074,6299,Gymshark USA Shopify Store,13/05/2018,United States,116.67,0,116.67,116.67,Billed,Failed Shipment Mapping,
#0014254,6299,Gymshark USA Shopify Store,14/10/2018,United States,144.27,0,144.27,144.27,Billed,Express (1-3 Working Days),SBUS10-S5F2QG
#0001823,6299,Gymshark USA Shopify Store,16/04/2019,United States,134.1,0,134.1,134.1,Billed,Express (1-3 Working Days),AFUSSB10-ZRCZ9N
#0007881,6300,Gymshark UK Shopify Store,15/05/2016,United Kingdom,54,0,54,45,fulfilled,Shipping,
#0010935,6300,Gymshark UK Shopify Store,26/05/2016,United Kingdom,51.13,0,51.13,42.61,fulfilled,Shipping,
#0010864,6301,Gymshark UK Shopify Store,15/05/2016,United Kingdom,26.5,2.49,28.99,24.16,fulfilled,Shipping,
#0002786,6301,Gymshark UK Shopify Store,10/12/2018,United Kingdom,45,0,45,37.5,Billed,Standard (2 Working Days),
#0012994,6301,Gymshark UK Shopify Store,11/12/2018,United Kingdom,35,0,35,29.17,Billed,Standard (2 Working Days),
#0013246,6303,Gymshark UK Shopify Store,20/12/2016,United Kingdom,66,0,66,55,fulfilled,Express Next Day,
#0014179,6303,Gymshark UK Shopify Store,04/07/2017,United Kingdom,111.6,0,111.6,93,fulfilled,Standard (3-5 Working Days),
#0013458,6308,Gymshark USA Shopify Store,14/05/2018,United States,122.35,0,122.35,122.35,Billed,Failed Shipment Mapping,
#0012286,6309,Gymshark EU Shopify Store,10/10/2018,Netherlands,38.48,8.74,47.22,39.02,Billed,Express (1-2 Working Days),
#0000133,6309,Gymshark ROW Shopify Store,19/11/2018,Netherlands,56.4,7.02,63.42,52.41,Billed,Standard (7-14 Working Days),
#0003765,6309,Gymshark EU Shopify Store,15/04/2019,Netherlands,56.12,0,56.12,46.38,Billed,Standard (2-3 Working Days),
#0009452,6310,Gymshark UK Shopify Store,07/11/2017,United Kingdom,36,0,36,30,Billed,Standard (3-5 Working Days),
#0005385,6314,Gymshark UK Shopify Store,10/12/2017,United Kingdom,28,4,32,26.66,Billed,Standard (3-5 Working Days),
#0012793,6315,Gymshark EU Shopify Store,20/11/2017,Ireland,75.19,0,75.19,61.14,Billed,Standard (7-14 Working Days),
#0007991,6316,Gymshark USA Shopify Store,14/09/2017,United States,75.74,0,75.74,75.74,Billed,Standard (7-14 Working Days),
#0005413,6319,Gymshark UK Shopify Store,08/01/2019,United Kingdom,35,0,35,29.17,Billed,Standard (2 Working Days),
#0004325,6320,Gymshark USA Shopify Store,25/10/2018,United States,69.82,0,69.82,69.82,Billed,Standard (4-7 Working Days),SBUS10-MURH27
#0006629,6321,Gymshark EU Shopify Store,20/11/2016,Netherlands,88.7,0,88.7,73.3,fulfilled,Standard (3-5 Working Days),
#0001798,6326,Gymshark USA Shopify Store,14/02/2018,United States,26.19,7.2,33.39,33.39,Billed,Standard (7-14 Working Days),
#0001605,6326,Gymshark USA Shopify Store,02/07/2018,United States,68.92,0,68.92,68.92,Billed,Standard (7-14 Working Days),
#0012769,6326,Gymshark Manual Order,11/12/2018,Canada,11.87,0,11.87,11.87,Billed,Free shipping - Internal,
#0010260,6326,Gymshark Manual Order,04/01/2019,United States,0,0,0,0,Billed,Free shipping - Internal,
#0002989,6330,Gymshark USA Shopify Store,18/09/2016,United States,59.32,0,59.32,59.32,fulfilled,Standard (7-14 Working Days),
#0005523,6331,Gymshark USA Shopify Store,08/12/2018,United States,86.38,0,86.38,86.38,Billed,Standard (4-7 Working Days),
#0002901,6332,Gymshark USA Shopify Store,21/03/2018,United States,58.83,0,58.83,58.83,Billed,Standard (7-14 Working Days),SH4RK77
#0009804,6332,Gymshark USA Shopify Store,02/07/2018,United States,95.76,0,95.76,95.76,Billed,Standard (7-14 Working Days),AFGSBDAY10
#0009257,6334,Gymshark USA Shopify Store,15/07/2017,United States,26.3,11.54,37.84,37.84,fulfilled,Express (1-2 Working Days),USWELCOME-54C5E666
#0001906,6334,Gymshark USA Shopify Store,22/09/2017,United States,33.88,7.37,41.25,41.25,Billed,Standard (7-14 Working Days),
#0001320,6334,Gymshark USA Shopify Store,02/01/2018,United States,28.16,7.41,35.57,35.57,Billed,Standard (7-14 Working Days),
#0005123,6334,Gymshark USA Shopify Store,19/05/2018,United States,23.83,7.4,31.23,31.23,Billed,Standard (7-14 Working Days),
#0012717,6337,Gymshark UK Shopify Store,01/08/2018,United Kingdom,60,0,60,50,Billed,Standard (3-5 Working Days),
#0013903,6341,Gymshark USA Shopify Store,20/11/2017,United States,59.39,0,59.39,59.39,Billed,Standard (7-14 Working Days),
#0009235,6341,Gymshark USA Shopify Store,01/12/2017,United States,0,0,0,0,Billed,Free shipping - Internal,
#0003114,6343,Gymshark FRA Shopify Store,23/04/2018,France,36.41,4.38,40.79,34,Billed,Standard (3-5 Working Days),
#0008726,6343,Gymshark FRA Shopify Store,17/03/2019,France,89.45,0,89.45,74.54,Billed,Express (1-2 Working Days),AFFR90RAD
#0008565,6345,Gymshark UK Shopify Store,20/02/2019,United Kingdom,45.5,0,45.5,37.91,Billed,Standard (2 Working Days),
#0013530,6345,Gymshark UK Shopify Store,21/02/2019,United Kingdom,49,0,49,40.83,Billed,Standard (2 Working Days),
#0002603,6348,Gymshark USA Shopify Store,14/08/2017,United States,59.68,0,59.68,59.68,fulfilled,Standard (7-14 Working Days),USWELCOME-383637FF
#0001072,6348,Gymshark USA Shopify Store,20/11/2017,United States,74.54,0,74.54,74.54,Billed,Standard (7-14 Working Days),
#0008142,6350,Gymshark USA Shopify Store,09/04/2018,United States,43.98,7.09,51.07,51.07,Billed,Standard (7-14 Working Days),
#0010178,6351,Gymshark UK Shopify Store,16/03/2016,United Kingdom,27.8,2.49,30.29,25.24,fulfilled,Shipping,
#0005247,6351,Gymshark UK Shopify Store,26/05/2016,United Kingdom,4.4,2.49,6.89,5.74,fulfilled,Shipping,
#0000067,6351,Gymshark UK Shopify Store,15/07/2016,United Kingdom,38.06,0,38.06,31.72,fulfilled,Shipping,
#0001583,6351,Gymshark UK Shopify Store,11/09/2016,United Kingdom,66.87,0,66.87,55.73,fulfilled,Shipping,
#0008854,6351,Gymshark UK Shopify Store,24/09/2016,United Kingdom,22.4,0,22.4,18.67,fulfilled,Standard (3-5 Working Day,
#0009014,6351,Gymshark UK Shopify Store,19/10/2016,United Kingdom,36,0,36,30,fulfilled,Standard (3-5 Working Day,
#0002551,6351,Gymshark UK Shopify Store,30/10/2016,United Kingdom,55,0,55,45.83,fulfilled,Standard (3-5 Working Day,
#0002899,6351,Gymshark UK Shopify Store,20/05/2017,United Kingdom,36.8,0,36.8,30.67,Unfulfilled,Standard (3-5 Working Days),
#0010669,6351,Gymshark UK Shopify Store,30/06/2017,United Kingdom,56,0,56,46.67,fulfilled,Standard (3-5 Working Days),
#0008380,6351,Gymshark UK Shopify Store,08/07/2017,United Kingdom,46,0,46,38.33,fulfilled,Standard (3-5 Working Days),
#0004461,6353,Gymshark EU Shopify Store,28/10/2016,Germany,78.49,0,78.49,65.96,fulfilled,Standard (3-5 Working Days),
#0007225,6355,Gymshark USA Shopify Store,14/09/2017,Canada,65.13,0,65.13,65.13,Billed,Standard (7-14 Working Days),
#0010960,6355,Gymshark USA Shopify Store,10/11/2017,Canada,51.81,11.43,63.24,63.24,Billed,Express (1-2 Working Days),
#0007066,6355,Gymshark USA Shopify Store,26/04/2018,Canada,45.89,7.17,53.06,53.06,Billed,Standard (7-14 Working Days),
#0006101,6355,Gymshark USA Shopify Store,12/06/2018,Canada,61.75,0,61.75,61.75,Billed,Standard (7-14 Working Days),SORRY-US-PT6JYD
#0010929,6355,Gymshark CAN Shopify Store,25/10/2018,Canada,74.43,0,74.43,74.43,Billed,Standard (5-10 Working Days),
#0008633,6357,Gymshark USA Shopify Store,04/07/2018,United States,64.75,0,64.75,64.75,Billed,Standard (7-14 Working Days),
#0006091,6357,Gymshark USA Shopify Store,20/09/2018,United States,76.31,0,76.31,76.31,Billed,Standard (4-7 Working Days),PARTUS10SE
#0004033,6359,Gymshark USA Shopify Store,29/09/2018,United States,68.82,0,68.82,68.82,Billed,Standard (4-7 Working Days),PART10RTPAY
#0001597,6362,Gymshark UK Shopify Store,13/03/2019,United Kingdom,65,0,65,54.17,Billed,Next Working Day,
#0008968,6362,Gymshark UK Shopify Store,16/05/2019,United Kingdom,50,0,50,41.67,Billed,Standard (2 Working Days),
#0011428,6364,Gymshark ROW Shopify Store,29/05/2017,United States,27.07,7.73,34.8,34.8,fulfilled,Standard (7-14 Working Days),
#0004142,6365,Gymshark USA Shopify Store,07/03/2017,United States,39.24,12.16,51.4,51.4,fulfilled,Express (1-2 Working Days),
#0008097,6368,Gymshark EU Shopify Store,01/12/2017,Ireland,66.92,0,66.92,54.4,Billed,Standard (7-14 Working Days),
#0012885,6368,Gymshark IE Shopify Store,20/11/2018,Ireland,48.02,0,48.02,39.05,Billed,Standard (2-3 Working Days),
#0010511,724,Gymshark UK Shopify Store,06/05/2015,Ireland,161.95,0,161.95,131.67,fulfilled,Express Tracked Large Order (Republic of Ireland Only),
#0004043,728,Gymshark EU Shopify Store,17/03/2017,Germany,135.2,0,135.2,113.61,fulfilled,Standard (3-5 Working Days),
#0003698,728,Gymshark DE Shopify Store,05/05/2017,Germany,136.68,0,136.68,114.86,Unfulfilled,Standard (3-5 Working Days),SPEND100
#0008571,728,Gymshark DE Shopify Store,24/11/2017,Germany,139.32,0,139.32,117.08,Billed,Standard (3-5 Working Days),
#0002411,728,Gymshark DE Shopify Store,09/09/2018,Germany,45.09,0,45.09,37.89,Billed,Standard (2-3 Working Days),SBAUG10DE-65WB2G
#0007688,730,Gymshark AUS Shopify Store,03/10/2018,Australia,55.57,5.53,61.1,55.55,Billed,Standard (7-14 Working Days),
#0000756,732,Gymshark USA Shopify Store,27/11/2017,United States,17.87,7.51,25.38,25.38,Billed,Standard (7-14 Working Days),
#0004938,736,Gymshark UK Shopify Store,18/05/2018,United Kingdom,72,0,72,60,Billed,Standard (3-5 Working Days),
#0006874,737,Gymshark UK Shopify Store,15/04/2019,United Kingdom,55,0,55,45.84,Billed,Standard (2 Working Days),
#0005359,738,Gymshark UK Shopify Store,04/02/2019,United Kingdom,45,0,45,37.5,Billed,Standard (2 Working Days),
#0009995,739,Gymshark USA Shopify Store,19/11/2018,United States,58.44,0,58.44,58.44,Billed,Standard (4-7 Working Days),
#0008640,744,Gymshark USA Shopify Store,03/02/2018,Canada,49.56,10.62,60.18,60.18,Billed,Failed Shipment Mapping,
#0003996,745,Gymshark USA Shopify Store,20/10/2018,United States,53.81,3.83,57.64,57.64,Billed,Standard (4-7 Working Days),PARTUS5NEW
#0004894,746,Gymshark DE Shopify Store,04/10/2018,Germany,53.4,0,53.4,44.88,Billed,Standard (2-3 Working Days),
#0007857,747,Gymshark USA Shopify Store,14/09/2017,Canada,34.56,7.51,42.07,42.07,Billed,Standard (7-14 Working Days),
#0003865,748,Gymshark USA Shopify Store,19/11/2018,United States,76.2,0,76.2,76.2,Billed,Standard (4-7 Working Days),
#0009225,752,Gymshark USA Shopify Store,01/02/2018,United States,35.23,7.05,42.28,42.28,Billed,Standard (7-14 Working Days),
#0010591,754,Gymshark UK Shopify Store,26/11/2016,United Kingdom,24.57,4,28.57,23.81,fulfilled,Standard (3-5 Working Days),SAVETWOFIVE
#0000045,758,Gymshark DE Shopify Store,23/12/2017,Germany,0,0,0,0,Closed,Standard (3-5 Working Days),
#0011686,758,Gymshark DE Shopify Store,23/12/2017,Germany,0,0,0,0,Closed,Standard (3-5 Working Days),
#0000045,758,Gymshark DE Shopify Store,23/12/2017,Germany,97.6,0,97.6,82.02,Billed,Standard (3-5 Working Days),
#0011686,758,Gymshark DE Shopify Store,23/12/2017,Germany,97.6,0,97.6,82.02,Billed,Standard (3-5 Working Days),
#0001977,758,Gymshark DE Shopify Store,20/09/2018,Germany,33.73,4.44,38.17,32.07,Billed,Standard (2-3 Working Days),
#0014061,759,Gymshark USA Shopify Store,27/05/2018,United States,88.62,0,88.62,88.62,Billed,Standard (7-14 Working Days),
#0010465,761,Gymshark UK Shopify Store,06/05/2018,United Kingdom,34,4,38,31.66,Billed,Standard (3-5 Working Days),
#0012711,761,Gymshark UK Shopify Store,11/11/2018,United Kingdom,91,0,91,75.83,Billed,Next Working Day,
#0006032,762,Gymshark USA Shopify Store,04/04/2018,United States,35.49,10.65,46.14,46.14,Billed,Failed Shipment Mapping,
#0002042,763,Gymshark ROW Shopify Store,18/01/2017,New Zealand,63.17,7.3,70.47,70.47,fulfilled,Standard (7-14 Working Days),SAVEFIVE
#0005189,763,Gymshark ROW Shopify Store,22/11/2017,New Zealand,48.59,6.79,55.38,55.38,Billed,Standard (7-14 Working Days),
#0008396,763,Gymshark ROW Shopify Store,22/11/2017,New Zealand,48.59,6.79,55.38,55.38,Billed,Standard (7-14 Working Days),
#0005189,763,Gymshark ROW Shopify Store,22/11/2017,New Zealand,0,6.79,55.38,6.79,Closed,Standard (7-14 Working Days),
#0008396,763,Gymshark ROW Shopify Store,22/11/2017,New Zealand,0,6.79,55.38,6.79,Closed,Standard (7-14 Working Days),
#0006089,765,Gymshark USA Shopify Store,27/04/2019,United States,34.84,3.87,38.71,38.71,Billed,Standard (4-7 Working Days),
#0008970,766,Gymshark EU Shopify Store,29/09/2016,Italy,57.78,0,57.78,48.15,fulfilled,Standard (3-5 Working Days),
#0001380,766,Gymshark EU Shopify Store,11/10/2016,Italy,0,0,0,0,fulfilled,Express (1-2 Working Days),CUSTOM DISCOUNT
#0014155,768,Gymshark USA Shopify Store,21/11/2018,United States,31.11,3.89,35,35,Billed,Standard (4-7 Working Days),
#0002922,769,Gymshark UK Shopify Store,09/06/2018,United Kingdom,144,6,150,125.01,Billed,Next Working Day,SBUK10-H8TMY6
#0004934,769,Gymshark UK Shopify Store,16/05/2019,United Kingdom,125,0,125,104.17,Billed,Next Working Day,
#0008540,773,Gymshark EU Shopify Store,27/11/2015,France,22.92,4.5,27.42,22.85,fulfilled,Shipping,
#0000327,774,Gymshark UK Shopify Store,25/02/2019,United Kingdom,85,0,85,70.83,Billed,Next Working Day,
#0005354,775,Gymshark UK Shopify Store,19/06/2015,United Kingdom,134.95,0,134.95,112.46,fulfilled,Royal Mail Tracked 48,GUZMAN10
#0001204,775,Gymshark UK Shopify Store,03/07/2015,United Kingdom,26.09,5.99,32.08,26.73,fulfilled,UK DPD Next Day,GUZMAN10
#0008218,775,Gymshark UK Shopify Store,03/07/2015,United Kingdom,8.99,5.99,14.98,12.48,fulfilled,UK DPD Next Day,GUZMAN10
#0001235,775,Gymshark UK Shopify Store,02/07/2018,United Kingdom,94,0,94,78.33,Billed,Standard (3-5 Working Days),
#0004429,777,Gymshark CAN Shopify Store,24/11/2018,Canada,68.24,0,68.24,68.24,Billed,Standard (5-10 Working Days),
#0003818,778,Gymshark UK Shopify Store,05/04/2018,United Kingdom,36,0,36,30,Billed,Standard (3-5 Working Days),SBUK10-NJFVFQ
