Item SKU,Size,Colour,Gender,Product Category,Product Description
GMLT1945-BK-M,Medium,Black,Male,,Apollo LS T-Shirt
GLLG1829-DPK-S,Small,Dusky Pink,Female,Bottoms,Energy + Seamless Cropped Leggings
GLTK002-BL-XS,Extra Small,Blue,Female,T-Shirts & Tops,Emblem Tank Top
GMSH006-SB-XL,Extra Large,Sapphire Blue,Male,Shorts,Ark Shorts
GMJG025-CHM-S,Small,Charcoal Marl,Male,Bottoms,Enlighten Bottoms
GLJG001-CH/WH-M,Medium,Charcoal/White,Female,Bottoms,Fit Bottoms
GMJK004-BK-S,Small,Black,Male,T-Shirts & Tops,Terrain Track Top
GLSH006-CH/PIC/WH-S,Small,Charcoal/Pistachio Ice Cream/White,Female,,Fit Shorts
GSMB001-NV/WH-XL,Extra Large,Navy/White,Male,Bottoms,Imprint Bottoms
GLLG1828-RDS-M,Medium,Red Sea,Female,Bottoms,Energy + Seamless Leggings
GLPO011-DPKM-L,Large,Dusky Pink Marl,Female,Hoodies,Slounge Cropped Pullover
GLVT006-BK-S,Small,Black,Female,T-Shirts & Tops,Breeze Vest
GASCSH-BK/OR-S,Small,Black/Orange,Male,Shorts,Ascendant Shorts
GLPO005-CPM-L,Large,Chalk Pink Marl,Female,Hoodies,Solace Sweater
GMTK023-WGN-M,Medium,Woodland Green,Male,Stringers,Ion Stringer
GLLG062-BK-S,Small,Black,Female,Leggings,Flawless Knit Tight
GLSW1901-BK-S,Small,Black,Female,Hoodies,Solace Sweater 2.0
GMSH2027-BK-S,Small,Black,Male,Shorts,Carbon Shorts
GLCT3140-BK-S,Small,Black,Female,,Ori Crop Top
GMTK023-PC-M,Medium,Purple Chalk,Male,Stringers,Ion Stringer
GLJG005-RP-L,Large,Rich Purple,Female,Bottoms,Fit Bottoms
GLHD028-KH-S,Small,Khaki,Female,Hoodies,Fit Hoodie
GMPO009-BK-XXL,XXL,Black,Male,Hoodies,Legacy Hoodie
GLLG025-BK-XS,Extra Small,Black,Female,Leggings,Ark Jersey Leggings
GMST3186-WH-M,Medium,White,Male,T-Shirts & Tops,Linear T-Shirt
GLLG015-BBM/MB-S,Small,Blueberry Marl/Marine Blue,Female,Leggings,Flex Leggings V3
GLLG1833-WKH-L,Large,Washed Khaki,Female,Bottoms,True Texture Leggings
GLJK1906-BK-M,Medium,Black,Female,Jackets,Isla Knit Open Cardigan
GMST032-GLM-M,Medium,Light Grey,Male,T-Shirts & Tops,Ark SS T-Shirt
GLBB006-DP-M,Medium,Deep Plum,Female,Underwear,Charge Sports Bikini Bottoms
GLSH014-CHM/DKT-M,Medium,Charcoal Marl/Dusky Teal,Female,Bottoms,Flex Shorts
GLLG076-DPKM-M,Medium,Dusky Pink Marl,Female,Bottoms,Slounge Leggings
GLLG062-BO-S,Small,Burnt Orange,Female,Leggings,Flawless Knit Tight
GLLG015-SBM/GL-L,Large,Sapphire Blue Marl/Light Grey,Female,Leggings,Flex Leggings V3
GLST009-WH/IND-S,Small,White/Indigo,Female,T-Shirts & Tops,Ombre T-Shirt
GLSB024-GLM/IND-S,Small,Light Grey Marl/Indigo,Female,Sports Bra,Flex Sports Bra
GLJG007-CHM-L,Large,Charcoal Marl,Female,Bottoms,Solace Bottoms
GLLG015-GLM/PTQ-M,Medium,Light Grey Marl/Pale Turquoise,Female,Leggings,Flex Leggings V3
GLSH020-BK-L,Large,Black,Female,Shorts,Dreamy High Waisted Shorts
GMST033-BKM-M,Medium,Black Marl,Male,T-Shirts & Tops,Phantom Seamless T-Shirt V2
GMJK006-BK-S,Small,Black,Male,Jackets,Distance Running Jacket
GLSH020-ST-S,Small,Steel Blue,Female,Bottoms,Dreamy Short
GMST2032-WHO-M,Medium,Washed Orange,Male,,Central SS T-Shirt
GMST038-SLD-L,Large,Slate Lavender,Male,T-Shirts & Tops,Aerate SS T-Shirt
GLVT1864-PRT/WKH-M,Medium,Printed/Washed Khaki,Female,T-Shirts & Tops,Efflux Vest
GLVT024-INDM-M,Medium,Indigo Marl,Female,T-Shirts & Tops,Double Back Vest
GMJG021-BK-L,Large,Black,Male,Bottoms,Fit Tapered Bottoms
NB2VT001-DKBM-XS,Extra Small,Dusk Blue Marl,Female,T-Shirts & Tops,Clear Cut Twist Back Vest
GLCT009-BKM-S,Small,Black Marl,Female,T-Shirts & Tops,Vital Seamless Long Sleeve Crop Top
GMTK027-WH-M,Medium,White,Male,Tanks,Legacy Drop Armhole Sleeveless T Shirt
GLVT028-BO-M,Medium,Burnt Orange,Female,T-Shirts & Tops,Flawless Knit Vest
GMSH019-GL-S,Small,Light Grey,Male,Shorts,Perforated Shorts
GLLG039-GLM-S,Small,Light Grey Marl,Female,Leggings,Aspire Leggings
GMJK006-BK-L,Large,Black,Male,Jackets,Distance Running Jacket
GLJG004-SLDM-M,Medium,Slate Lavender Marl,Female,Bottoms,High Waisted Joggers
GMTK3251-SB-L,Large,Sapphire Blue,Male,,Critical Tank
GLLG042-PW-L,Large,Purple Wash,Female,Leggings,Energy Seamless Leggings
GLLG1830-DMAM-XS,Extra Small,Deep Magenta Marl,Female,,Vital Seamless Leggings
GLBT005-DKT-S,Small,Dusky Teal,Female,Underwear,Essence Bikini Top
GFSTS-EM-M,Medium,Ember,Male,T-Shirts & Tops,Seamless Avant T-Shirt
GMST033-SGM-S,Small,Slate Grey Marl,Male,T-Shirts & Tops,Phantom Seamless T-Shirt V2
GLLG044-BK-S,Small,Black,Female,Leggings,Fusion Leggings V2
GLLG016-BBM-L,Large,Blueberry Marl,Female,Leggings,High Waisted Seamless Leggings
GMST3189-BK-L,Large,Black,Male,T-Shirts & Tops,Etch T-Shirt
GLSB014-BK-L,Large,Black,Female,Sports Bra,Elite Sports Bra
GLCT1846-BK-XL,Extra Large,Black,Female,T-Shirts & Tops,Energy + Seamless Crop Top
GLLG076-TP-M,Medium,Taupe,Female,Leggings,Slounge Leggings
GMABG001-BK,,Black,Accessories,Accessories,Legacy Holdall Black
GLJG1917-SLD-S,Small,Slate Lavender,Female,Bottoms,Comfy Tracksuit Bottoms
GLCT011-GLM-M,Medium,Light Grey Marl,Female,T-Shirts & Tops,Long Sleeve Ribbon Crop Top
GMLT027-SBM-L,Large,Sapphire Blue Marl,Male,T-Shirts & Tops,Statement LS T-Shirt
GLSB023-SB/IB-S,Small,Sapphire Blue/Ice Blue,Female,Sports Bra,Fit Sports Bra
GMTK002-SBM/LG-M,Medium,Sapphire Blue Marl/ Lime Green,Male,Tanks,Apex Sleeveless T-Shirt
GMHD005-BK/CHM/GBL-L,Large,Black/ Charcoal Marl/ Gymshark Blue,Male,Jackets,Evergreen Pioneer Hoodie
GMST3196-WH-M,Medium,White,Male,T-Shirts & Tops,Ascend T-Shirt
GLCT001-BKM-L,Large,Black Marl,Female,T-Shirts & Tops,Seamless Long Sleeve Crop Top
GLLG079-CTP-S,Small,Chalk Taupe,Female,Leggings,Sleek Sculpture Leggings II
GMLS004-SB-M,Medium,Sapphire Blue,Male,T-Shirts & Tops,Ark Long Sleeve T-Shirt
GMPO3018-CGR-S,Small,Chalk Grey,Male,,Laundered Sleeveless Hoodie
GMTK023-WGN-L,Large,Woodland Green,Male,Stringers,Ion Stringer
GLLG015-DPKM/CH-M,Medium,Dusky Pink Marl/Charcoal,Female,Bottoms,Flex Leggings V3
GLCT015-PW-S,Small,Purple Wash,Female,T-Shirts & Tops,Basic Crop Top
GMLT016-WH-XL,Extra Large,White,Male,T-Shirts & Tops,Vertex LS T-Shirt
GMSH031-BK-S,Small,Black,Male,Shorts,Free Flow Shorts
GMJG032-GLM-S,Small,Light Grey Marl,Male,Bottoms,Pinnacle Knit Jogger
GLSB2062-CHM-S,Small,Charcoal Marl,Female,Sports Bra,Ark Sports Bra
GLST005-MB-XS,Extra Small,Marine Blue,Female,T-Shirts & Tops,Verve T-Shirt
GLSB021-DT-M,Medium,Deep Teal,Female,Sports Bra,Vital Seamless Sports Bra
GMTK008-GBLM-L,Large,Gymshark Blue Marl,Male,Tanks,Phantom Seamless Tank
GLSB001-CO/CG-XS,Extra Small,Coral/Cool Grey,Female,Sports Bra,Infinity Sports Bra
GLCT1848-DPKM/CH-S,Small,Dusky Pink Marl/Charcoal,Female,T-Shirts & Tops,Flex Crop Top
GLSB1881-LDG-M,Medium,Lavender Grey,Female,Sports Bra,Camo Seamless Sports Bra
GMTK024-SB-M,Medium,Sapphire Blue,Male,Tanks,Aerate Tank
GLCT1854-BSN-S,Small,Blush Nude,Female,T-Shirts & Tops,True Texture Bralette
GLST2057-GL/BSN-S,Small,Light Grey/Blush Nude,Female,T-Shirts & Tops,Apollo T-Shirt
GMTK1966-WGNM-M,Medium,Woodland Green Marl,Male,Tanks,Define Seamless Tank
GLJG2043-CHM-XS,Extra Small,Charcoal Marl,Female,Bottoms,Slounge Straight Leg Joggers
GLCT007-PW-S,Small,Purple Wash,Female,T-Shirts & Tops,Energy Seamless Crop Top
GMHD030-CHM-M,Medium,Charcoal Marl,Male,Hoodies,Eaze Zip Hoodie
GMST3194-BK-M,Medium,Black,Male,T-Shirts & Tops,Reverse T-Shirt
GMJG008-SB-XL,Extra Large,Sapphire Blue,Male,Bottoms,Ark Bottoms
GLCT011-BK-L,Large,Black,Female,T-Shirts & Tops,Long Sleeve Ribbon Crop Top
GLLG028-BK/RS-XS,Extra Small,Black/Rose,Female,Leggings,Fit Leggings
GMSH2004-BK-M,Medium,Black,Male,Shorts,Running Shorts
GLPO1893-BSN-S,Small,Blush Nude,Female,Hoodies,Slounge Ribbed Pullover
GLJG3134-BK-S,Small,Black,Female,,Relaxed Joggers
GGBN-BK/WH,,Black,Accessories,Accessories,Gym Beanie
GMPO009-SLD-M,Medium,Slate Lavender,Male,Hoodies,Fitness Pullover
GLHD026-SLGM-S,Small,Slate Grey Marl,Female,Hoodies,Winter Tracksuit Hoodie
GMJG008-AG-L,Large,Alpine Green,Male,Bottoms,Ark Bottoms
GLVT036-BK-XS,Extra Small,Black,Female,T-Shirts & Tops,Duplex Vest
GMBT3075-BK-M,Medium,Black,Male,,Bold Joggers
GLSB001-MG/CO-L,Large,Mint Green/Coral,Female,Sports Bra,Infinity Sports Bra
GLST006-SPM-S,Small,Sherbet Pink Marl,Female,T-Shirts & Tops,Seamless T-Shirt V2
GLLG048-IND-S,Small,Indigo,Female,Leggings,Dreamy Cropped Leggings
GMSR3250-OXB-L,Large,Ox Blood,Male,,Critical Stringer
GLCT019-SFG-M,Medium,Sea Foam Green,Female,T-Shirts & Tops,Pastel Crop Tops
GMLT1512-CHM-L,Large,Charcoal Marl,Male,,Shadow X Seamless LS T-Shirt
GLCT011-TP-S,Small,Taupe,Female,T-Shirts & Tops,Long Sleeve Ribbon Crop Top
GLST009-WH/IND-L,Large,White/Indigo,Female,T-Shirts & Tops,Ombre T-Shirt
GLPO3133-BK-S,Small,Black,Female,,Relaxed Sweater
GMHD015-GLM-M,Medium,Light Grey,Male,Jackets,Ark Zip Hoodie
GMSR1979-SB-M,Medium,Sapphire Blue,Male,Stringers,Profile Stringer
GMST035-CH/BK-L,Large,Charcoal/Black,Male,T-Shirts & Tops,Ombre SS T-Shirt
GMHD020-WH-S,Small,White,Male,Hoodies,Drop Arm Sleeveless Hoodie
GLLG080-TP-S,Small,Taupe,Female,Leggings,Dreamy FL Leggings
STANDARD (3-6 WORKING DAYS),,,,,Standard (3-6 Working Days)
GLLT026-BTM-S,Small,Beet Marl,Female,T-Shirts & Tops,Vital Seamless Long Sleeve Top
GLST011-BT-M,Medium,Beet,Female,T-Shirts & Tops,Verve T-Shirt
GFETS-NV-S,Small,Navy,Male,T-Shirts & Tops,Form T-Shirt
GLLG028-CH/PW-XS,Extra Small,Charcoal/Purple Wash,Female,Leggings,Fit Leggings
GMST046-WHM-M,Medium,White Marl,Male,T-Shirts & Tops,Ghost SS T-Shirt
GMHD029-BK-L,Large,Black,Male,Hoodies,Fully Fused Zip Hoodie
GMTK011-AEB-M,Medium,Aegean Blue,Male,T-Shirts & Tops,Ark Sleeveless T-Shirt
GMST2033-BK-S,Small,Black,Male,T-Shirts & Tops,Raised Logo SS T-Shirt
GMUW001-GLM/BK-XL,Extra Large,Light Grey Marl/Black,Male,Underwear,Mens Hipsters
GMSH3207-BK-M,Medium,Black,Male,,Orbit Shorts
GLCT009-DT-S,Small,Deep Teal,Female,T-Shirts & Tops,Vital Seamless Long Sleeve Crop Top
GMSH007-CRM/BK-M,Medium,Crimson/Black,Male,Shorts,Transcendent Shorts
GLLG080-PHC-XS,Extra Small,Peach Coral,Female,Leggings,Dreamy FL Leggings
GLLG051-BK-XS,Extra Small,Black,Female,Leggings,Sleek Aspire Cropped Leggings
GLLT017-PLM-M,Medium,Plum Marl,Female,T-Shirts & Tops,Seamless Long Sleeve Top
GMST050-SFP-L,Large,Soft Pink,Male,T-Shirts & Tops,Eaze SS T-Shirt
GLSB014-PLL-XS,Extra Small,Pastel Lilac,Female,Sports Bra,Elite Sports Bra
GLLG028-CH/CB-L,Large,Charcoal/Cranberry,Female,Leggings,Fit Leggings
GLSB012-CHM-XS,Extra Small,Charcoal Marl,Female,T-Shirts & Tops,Ribbon Crop Top
GLTK002-PK-M,Medium,Pink,Female,T-Shirts & Tops,Emblem Tank Top
GMST056-PC-XL,Extra Large,Purple Chalk,Male,T-Shirts & Tops,Living SS T-Shirt
GMST1972-BK-L,Large,Black,Male,T-Shirts & Tops,Fresh SS T-Shirt
GLST010-RP-XS,Extra Small,Rich Purple,Female,T-Shirts & Tops,Apollo T-Shirt
GLLT001-BK/CH-S,Small,Black/Charcoal,Female,Hoodies,Seamless Airflow Zip Pullover
GLLG076-CHM-XL,Extra Large,Charcoal Marl,Female,Bottoms,Slounge Leggings
GLLG1824-CHM/PGP-S,Small,Charcoal Marl/Pastel Grape,Female,Bottoms,High Waisted Flex Leggings
GLJG005-RP-S,Small,Rich Purple,Female,Bottoms,Fit Bottoms
GLCT1851-ST-M,Medium,Steel Blue,Female,T-Shirts & Tops,Dreamy Cap Sleeve Crop Top
GMSH024-WH-L,Large,White,Male,Shorts,Sport Shorts
GLVT028-WHL-M,Medium,Washed Lavender,Female,T-Shirts & Tops,Flawless Knit Vest
GLPO3133-BK-XS,Extra Small,Black,Female,,Relaxed Sweater
GMST013-CHM-XL,Extra Large,Charcoal Marl,Male,T-Shirts & Tops,Form T-Shirt V2
GMST049-WH-S,Small,White,Male,T-Shirts & Tops,Solace Longline SS T-Shirt
GMPO003-FG-M,Medium,Forest Green,Male,Hoodies,Ark Pullover
GLSH001-BK/HP-S,Small,Black C/Hot Pink 806C,Female,Shorts,Sprint Shorts
GLST003-MG/WH-S,Small,Mint Green/White,Female,T-Shirts & Tops,Seamless T-Shirt
GMPO001-BK/CH-S,Small,Black/Charcoal,Male,Hoodies,Apex Pullover
GLJG005-CHM-XS,Extra Small,Charcoal Marl,Female,Bottoms,Fit Bottoms
GLSB011-CH-XS,Extra Small,Charcoal,Female,Sports Bra,Ease Sports Bra
GLSB034-IND-M,Medium,Indigo,Female,Sports Bra,Elevate Sports Bra
GLLG013-BB/LG-L,Large,Blackberry/Light Grey,Female,Leggings,Fit Leggings (thigh logo)
GLLG012-SB-XS,Extra Small,Sapphire Blue,Female,Leggings,Sculpture Leggings No Mesh
GMST1996-DBR-M,Medium,Driftwood Brown,Male,T-Shirts & Tops,Drawcord Sweat T-Shirt
GMST016-GBLM-XL,Extra Large,Gymshark Blue Marl,Male,T-Shirts & Tops,Phantom Seamless T-Shirt
GMTK3321-BK-L,Large,Black,Male,Tanks,Linear Tank
GLUW005-DPK-M,Medium,Dusky Pink,Female,Underwear,Seamless Thong
GLSB1883-DMAM-XS,Extra Small,Deep Magenta Marl,Female,,Vital Seamless Sports Bra
GMHD015-CHM-XXL,XXL,Charcoal Marl,Male,Hoodies,Ark Zip Hoodie
GMST026-PT-L,Large,Port,Male,T-Shirts & Tops,Brushed Cotton T-Shirt
GMSK003-BK-9-12,9-12,Black,Male,Socks,Thick Tech Crew Sock
GLHD021-BK-L,Large,Black,Female,Hoodies,Cropped Hoodie
GMJG006-BK-M,Medium,Black,Male,Bottoms,Primesource Pioneer Bottoms
GLLG012-BK-S,Small,Black,Female,Leggings,Sculpture Leggings No Mesh
GLST006-BKM-M,Medium,Black Marl,Female,T-Shirts & Tops,Seamless T-Shirt V2
GLUW1928-ISB-S,Small,Intense Steel Blue,Female,,Cotton High Rise Thong
GFSPH-FG-M,Medium,Forest Green,Female,Hoodies,Fit Perforated Sleeveless Hoodie
GMST3397-BK-L,Large,Black,Male,,Black Friday T-Shirt
GLLG080-SBL-S,Small,Sapphire Blue,Female,Leggings,Dreamy FL Leggings
GAHW009-BK-OS,One Size,Black,Accessories,Accessories,Essential Cap
GLVT031-PHP-L,Large,Peach Pink,Female,T-Shirts & Tops,Vital Seamless Vest
GFTS-TYPU-L,Large,Tyrian Purple,Male,T-Shirts & Tops,Fitness T-Shirt
GLVT022-WH-XS,Extra Small,White,Female,T-Shirts & Tops,Slant Vest
GLLG079-DPKM-S,Small,Dusky Pink Marl,Female,Leggings,Sleek Sculpture Leggings II
GMFB-GR/BK-S,Small,Grey/Black,Male,Bottoms,MeshLite Fitted Bottoms
GMLT032-BKM-S,Small,Black Marl,Male,T-Shirts & Tops,Shadow Seamless LS T-Shirt
GAHW3346-STN-OS,One Size,Stone,Accessories,,Curved Cap
GLSB1873-CHM-XS,Extra Small,Charcoal Marl,Female,Sports Bra,Fleur Texture Sports Bra
GLST010-BT-M,Medium,Beet,Female,T-Shirts & Tops,Apollo T-Shirt
GLCT1852-WHKM-S,Small,Washed Khaki Marl,Female,T-Shirts & Tops,Fleur Texture Long Sleeve Crop Top
GMTK024-BK-L,Large,Black,Male,Tanks,Aerate Tank
GMHD012-BK/NB-L,Large,Black/ Navy,Male,Hoodies,Signal Hooded Pullover
GLVT001-MG/WH-M,Medium,Mint Green/White,Female,T-Shirts & Tops,Seamless Vest
GMST3186-BK-XL,Extra Large,Black,Male,T-Shirts & Tops,Linear T-Shirt
GLSB033-DKR-M,Medium,Dark Ruby,Female,Sports Bra,Embody Sports Bra
GMJG032-BKM-L,Large,Black Marl,Male,Bottoms,Pinnacle Knit Jogger
GLSH020-TP-M,Medium,Taupe,Female,Shorts,Dreamy High Waisted Shorts
GLVT016-SLC-M,Medium,Soft Lilac,Female,T-Shirts & Tops,Tempo Vest
GMPO003-SB-M,Medium,Sapphire Blue,Male,Hoodies,Ark Pullover
GLLG011-CHM-M,Medium,Charcoal Marl,Female,Leggings,Sculpture Cropped Leggings No Mesh
GMST022-VR-S,Small,Volcanic Red,Male,T-Shirts & Tops,Super Lightweight T-Shirt
GMTK3325-GLM-L,Large,Light Grey Marl,Male,,Bold Tank
GMLS004-WH-L,Large,White,Male,T-Shirts & Tops,Ark Long Sleeve T-Shirt
GMJK002-BK-M,Medium,Black,Male,Jackets,Marathon Jacket
