Order Number,CustomerID,Item Quantity,Item SKU,Item Subtotal (Inc Disc),Item Discount GBP,Item Gross Total GBP,Item Tax Value GBP,Item Net Total GBP
#0002653,1728,2,GLLG1839-BK-M,76.69,0,76.69,0,76.69
#0002655,8769,2,GFSHT-RD/GP-L,30.02,0,30.02,0,30.02
#0002807,3880,2,GSB,7.98,0,7.98,1.33,6.65
#0002807,3880,2,GSB,7.98,0,7.98,1.33,6.65
#0002807,3880,2,GSB,7.98,0,7.98,1.33,6.65
#0002807,3880,2,GSB,7.98,0,7.98,1.33,6.65
#0002807,3880,2,GSB,7.98,0,7.98,1.33,6.65
#0002807,3880,2,GSB,7.98,0,7.98,1.33,6.65
#0002807,3880,2,GSB,7.98,0,7.98,1.33,6.65
#0002807,3880,2,GSB,7.98,0,7.98,1.33,6.65
#0002807,3880,2,GSB,7.98,0,7.98,1.33,6.65
#0002836,9129,2,GABT003-PK,12.8,,12.8,2.13,10.67
#0002978,1728,2,GLLG1833-BK-L,83.76,0,83.76,0,83.76
#0003018,5602,2,GLUW002-MG-XS,12.83,0,12.83,0,12.83
#0003030,6388,2,GW-OR,1.46,0,1.46,0.24,1.22
#0003176,1349,2,GMPO004-BKM-XL,68,0,68,11.33,56.67
#0003451,2558,2,GLLG1826-BK-M,69.52,0,69.52,0,69.52
#0003608,5912,2,GLSB026-INDPR-M,56.81,0,56.81,0,56.81
#0003638,456,2,GLLG028-CH/DPK-XS,48,0,48,8,40
#0003656,3962,2,GLLG028-BK/WH-S,57.57,0,57.57,0,57.57
#0003695,9273,2,GLLG039-BK-S,52.96,0,52.96,0,52.96
#0003728,6581,2,GLUW002-GLM-L,30,,30,5,25
#0003760,1847,2,GLLG1833-BK-S,84.15,0,84.15,0,84.15
#0003829,1576,2,GMST053-BLK-S,35.52,0,35.52,6.16,29.36
#0003842,9221,2,GMST038-BK-M,26,0,26,4.33,21.67
#0003927,1576,2,GLJG009-WKH-S,88.96,0,88.96,15.44,73.52
#0003969,3171,2,GLPO006-DPM-XS,45.89,1.77,44.12,0,44.12
#0004026,5019,2,GLLG1828-BK-S,78.2,0,78.2,13.57,64.63
#0004029,4982,2,GLLG011-BK-M,52.87,,47.59,0,47.59
#0004050,2095,2,GLLG1828-SLD-M,77.83,0,77.83,12.42,65.41
#0004236,6066,2,GPT-GP-S,31.1,0,31.1,5.18,25.91
#0004236,6066,2,GW-OR,1.47,0,1.47,0.24,1.22
#0004260,7421,2,GMHD022-CHM-M,45.5,0,45.5,7.9,37.6
#0004308,802,2,GLLG015-BKM/CH-S,64,0,64,10.67,53.33
#0004332,4258,2,GLLG022-BK/WH-S,56,0,56,9.33,46.67
#0004374,8081,2,GLSB027-WHL-XS,69.99,0,69.99,11.66,58.33
#0004397,6290,2,GMB002-BB/WH-S,27.98,0,27.98,4.66,23.32
#0004427,4408,2,GLLG1830-BKM-M,77.08,0,77.08,0,77.08
#0004528,4233,2,GMST3189-BK-M,40,0,40,6.67,33.33
#0004550,9438,2,GLSB014-BK-S,56.33,0,56.33,0,56.33
#0004550,9438,2,GLSB014-WH-S,56.33,0,56.33,0,56.33
#0004552,3261,2,GMST056-BK-M,12,0,12,2,10
#0004823,9330,2,GLSB006-BKM-S,48,,48,8,40
#0004880,4503,2,GLLG051-BK-S,21.6,0,21.6,3.6,18
#0004892,5691,2,NBLG001-BK-M,93.8,,93.8,0,93.8
#0005112,970,2,GABT004-2.2L,17.15,0,17.15,2.98,14.17
#0005119,5198,2,GMST034-FRD-L,30,0,30,5,25
#0005170,9330,2,GLSB006-BKM-S,48,,48,8,40
#0005234,5877,2,GMLS004-SMG-L,42.75,0,42.75,6.82,35.93
#0005305,7549,2,GABT004-2.2L,16,0,16,2.67,13.33
#0005330,802,2,GLLG076-WHKM-XS,44.8,0,44.8,7.47,37.33
#0005446,1785,2,GMTK3330-BK-M,26.27,2.63,23.64,0,23.64
#0005604,3783,2,GMJG009-NV-S,34,,34,5.67,28.33
#0005610,9856,2,GLLG035-PHP/CH-S,80.01,0,80.01,13.34,66.67
#0005650,2838,2,GMHD011-BK-L,60.87,0,60.87,9.72,51.15
#0005675,5323,2,GMSR3329-BK-L,24.93,0,24.93,0,24.93
#0005789,466,2,GMST2020-BK-M,31.01,0,31.01,0,31.01
#0005821,6257,2,GLLT017-BK/WH-L,64.88,,64.88,0,64.88
#0005839,6685,2,GAWB001-HP,3.23,0.32,2.91,0,2.91
#0005842,7457,2,GLLG041-BK-M,38.01,0,38.01,6.34,31.67
#0005966,1728,2,GLLG1831-BK-L,84.01,0,84.01,0,84.01
#0006038,1728,2,GLLG022-BK/WH-L,52.44,0,52.44,0,52.44
#0006109,3855,2,GLSH006-BK/CH/BK-S,40,0,40,6.67,33.33
#0006110,6763,2,GLV001-MG/CG-XS,18.66,0,18.66,3.24,15.42
#0006135,5217,2,GLUW005-WH-M,16,0,16,2.67,13.33
#0006135,5217,2,GLUW005-WH-S,16,0,16,2.67,13.33
#0006388,9114,2,GLLG015-BKM/BK-S,64,0,64,10.67,53.33
#0006413,447,2,GMSH024-BK-M,43.14,0,43.14,7.49,35.65
#0006421,1785,2,GMSH024-BK-M,30.19,3.02,27.17,0,27.17
#0006421,1785,2,GMST034-BK/WH-L,21.57,2.16,19.41,0,19.41
#0006441,8127,2,GLLG064-BK-S,59.72,0,59.72,11.17,48.55
#0006542,7468,2,GMST034-WH/BK-L,27.25,0,27.25,0,27.25
#0006650,1728,2,GLLG062-BK-L,86.46,0,86.46,0,86.46
#0006680,6129,2,GMSH024-CH-M,31.57,0,31.57,0,31.57
#0006843,5381,2,GW-PK,1.44,0,1.44,0.24,1.2
#0006888,177,2,GMHD020-BK-M,42,4.2,37.8,6.3,31.5
#0006888,177,2,GMHD020-GLM-M,30,3,27,4.5,22.5
#0007125,6256,2,GLLG004-BBM/PL-S,71.07,0,71.07,0,71.07
#0007221,8940,2,GLLG042-PW-S,80.04,0,80.04,0,80.04
#0007234,1114,2,GMTK030-BK-M,45.19,0,45.19,7.84,37.35
#0007347,9330,2,GLBB003-BK-S,20,0,20,3.33,16.67
#0007380,697,2,GLLG1830-BKM-S,64,0,64,10.67,53.33
#0007405,359,2,GLUW005-BK-S,16,0,16,2.67,13.33
#0007462,5005,2,GLSB017-KH-S,54.07,0,54.07,0,54.07
#0007462,5005,2,GLLG042-KH-S,76.84,0,76.84,0,76.84
#0007506,5714,2,GMST034-BK/WH-S,27.4,2.28,25.12,0,25.12
#0007604,8527,2,GLPO007-BK-L,64,0,64,10.67,53.33
#0007608,101,2,GLJG1917-BK-M,56.1,0,56.1,0,56.1
#0007617,7811,2,GMST3256-BK-M,40.3,0,40.3,8.06,32.24
#0007617,7811,2,GMST3256-WH-M,40.3,0,40.3,8.06,32.24
#0007644,499,2,GMST032-BK-L,34.04,0,34.04,0,34.04
#0007647,5691,2,GMPO009-BK-S,61.87,,61.87,0,61.87
#0007686,8010,2,GLLG1828-BK-M,83.25,0,83.25,0,83.25
#0007796,4782,2,GMTK011-BK-M,24,0,24,0,24
#0007959,3526,2,GMTK027-BK-L,36.17,0,36.17,0,36.17
#0007976,9701,2,GLU-WH/PU-M,5.13,0,5.13,0,5.13
#0008016,1349,2,GMPO004-BKM-L,68.02,0,68.02,11.34,56.68
#0008108,9842,2,GAHW3291-BK-OS,28.44,0,28.44,4.74,23.7
#0008171,9224,2,GLHD021-RPM-S,46.07,0,46.07,0,46.07
#0008288,7510,2,GLLG012-BK-M,43.96,0,43.96,0,43.96
#0008380,6351,2,GMST016-BKM-S,30,,30,5,25
#0008389,7961,2,GLUW005-BK-L,19.67,0,19.67,0,19.67
#0008501,7313,2,GLVT1863-BKM-M,42.65,0,42.65,7.4,35.25
#0008580,38,2,GMHD015-SB-M,33.34,3.33,30.01,0,30.01
#0008580,38,2,GMHD015-SB-S,33.34,3.33,30.01,0,30.01
#0008601,9611,2,GMUW001-BK/BK-L,18.46,,17.53,0,17.53
#0008605,3526,2,GMSH020-CH-L,63.29,0,63.29,0,63.29
#0008733,6497,2,GLCT2044-SMG/BK-S,37.4,0,37.4,0,37.4
#0008733,6497,2,GMLT029-WBG-M,14.96,0,14.96,0,14.96
#0008742,4422,2,GMLS004-AEB-L,37.33,0,37.33,0,37.33
#0008760,2225,2,GMSR020-BK-M,23.2,0,23.2,0,23.2
#0008808,8598,2,GMST027-WH-M,33.6,0,33.6,5.6,28
#0008830,1728,2,GLJG1917-BK-L,71.96,0,71.96,0,71.96
#0008836,5141,2,GLLG3139-BK-M,68.95,0,68.95,0,68.95
#0008869,3928,2,GMST003-BKM/GBL-M,64.18,,64.18,10.25,53.93
#0008901,3607,2,GMUW001-BK/BK-L,18.18,0,18.18,0,18.18
#0008960,4369,2,GLLG025-BK-S,22.58,2.26,20.32,0,20.32
#0009045,5831,2,GMHD015-BK-M,23.56,0,23.56,0,23.56
#0009249,2080,2,GMLT032-BKM-S,60,0,60,10,50
#0009266,4104,2,GMUW001-BK/BK-M,36.12,4.57,31.55,0,31.55
#0009273,3949,2,GMST034-BK-M,19.11,0,19.11,0,19.11
#0009294,7495,2,GMST026-BK-S,27.24,0,27.24,0,27.24
#0009394,2503,2,GMSR009-BK-M,34.03,,34.03,0,34.03
#0009394,2503,2,GMTK012-WH-M,34.03,,34.03,0,34.03
#0009470,931,2,GLLG025-BK-S,26.61,0,26.61,4.25,22.36
#0009475,3614,2,GMTK004-BK-M,42.85,0,42.85,0,42.85
#0009482,5846,2,GMSH002-GLM/WH-L,27.25,,27.25,0,27.25
#0009482,5846,2,GMLT001-CG/WH-L,36.33,,36.33,0,36.33
#0009643,8681,2,GLLG025-BK-S,26.66,0,26.66,4.98,21.68
#0009658,9091,2,GLCT1844-BK/WH-XS,39.22,0,39.22,0,39.22
#0009663,1412,2,GLLG028-BK/WH-L,38.67,0,38.67,0,38.67
#0009677,8892,2,GLCT009-BKM-M,18.7,0,18.7,0,18.7
#0009785,1728,2,GLLG1826-BK-L,71.02,0,71.02,0,71.02
#0009883,5005,2,GLLG039-KH-S,65.96,0,65.96,0,65.96
#0009912,38,2,GMHD020-BK-M,59.3,5.93,53.37,0,53.37
#0010322,9129,2,GMJG004-GLM-XL,47.6,,44.2,7.37,36.83
#0010364,953,2,GLSH006-CH/PTQ-XS,27.73,2.77,24.96,0,24.96
#0010364,953,2,GLLG025-SB-M,24.05,2.41,21.64,0,21.64
#0010393,3490,2,GMST3256-BK-S,34.08,3.41,30.68,5.33,25.35
#0010458,3874,2,GLLG025-GLM-M,22.73,1.37,21.36,0,21.36
#0010473,8188,2,GMJG025-BK-M,85,0,85,13.57,71.43
#0010505,9378,2,GLLG058-BKM/CH-S,30,0,30,5,25
#0010529,5932,2,GLSB017-BK-S,29.61,0,29.61,0,29.61
#0010708,7020,2,GLLG028-BK/RS-S,30,3,27,4.5,22.5
#0010737,499,2,GMST049-BK-L,25.72,0,25.72,0,25.72
#0010831,6570,2,GMST010-BK-M,35.67,,35.67,0,35.67
#0010831,6570,2,GMTK005-CH/GLM/LG-L,49.94,,49.94,0,49.94
#0010831,6570,2,GMTK008-SBM-L,61.62,,61.62,0,61.62
#0010831,6570,2,GMLS004-BK-L,55.13,,55.13,0,55.13
#0010831,6570,2,GMPO004-BKM-L,77.83,,77.83,0,77.83
#0010854,6925,2,GAHW003-GLM,15.05,0,15.05,0,15.05
#0010858,8794,2,GLLG015-GLM/SP-M,40.31,0,40.31,0,40.31
#0010917,3020,2,GABT004-2.2L,15.75,0,15.75,2.63,13.13
#0010923,6554,2,GLLG033-BK-M,31.82,0,31.82,0,31.82
#0010973,2812,2,GLLG028-BK/WH-XS,49.88,0,49.88,9.65,40.23
#0011025,6434,2,GLLG015-DPKM/CH-M,44.16,0,44.16,4.02,40.14
#0011059,2431,2,GMST027-GLM-S,40.1,,36.09,0,36.09
#0011338,6255,2,GMLS004-BK-M,18,1.8,16.2,2.7,13.5
#0011432,2828,2,GMTK023-SLD-S,17.14,0,17.14,0,17.14
#0011432,2828,2,GMTK032-BK-S,14.02,0,14.02,0,14.02
#0011459,5689,2,GLLG076-DPL-S,55.38,0,55.38,0,55.38
#0011710,1402,2,GPT-GP-S,19.98,2,17.98,3.12,14.86
#0011777,5142,2,GLHD028-BK-M,41.3,0,41.3,6.88,34.42
#0011788,5701,2,GLHD028-BK-L,33.99,0,33.99,5.66,28.33
#0011803,2168,2,GLLG066-BKM/DT-S,97.73,0,97.73,17.63,80.1
#0011928,1057,2,GLLG012-BK-S,67.85,,67.85,0,67.85
#0012032,3406,2,GFTB-BK-S,70.38,0,70.38,0,70.38
#0012032,3406,2,GFTB-GP-S,70.38,0,70.38,0,70.38
#0012095,181,2,GLUW003-BK-XS,28.17,0,28.17,0,28.17
#0012169,5314,2,GMBT1984-BKM-L,78.53,7.85,70.68,11.28,59.4
#0012189,5410,2,GLLG041-BK-M,69.05,0,69.05,0,69.05
#0012318,5240,2,GABG009-BK-OS,45.88,0,45.88,0,45.88
#0012362,644,2,GMASK001-BK,18.18,0,18.18,0,18.18
#0012472,2268,2,GLLG049-BT/BTM-S,39.34,0,39.34,0,39.34
#0012483,7591,2,GLLG022-CH/DPK-M,37.02,0,37.02,0,37.02
#0012501,6255,2,GMST3186-BK-M,40,0,40,6.67,33.33
#0012501,6255,2,GMST3186-WH-M,40,0,40,6.67,33.33
#0012558,3445,2,GABT004-2.2L,16.45,0,16.45,2.74,13.71
#0012610,8812,2,GLLG1825-BK-S,40,0,40,6.67,33.33
#0012811,7082,2,GLST011-BK-S,40,0,40,6.67,33.33
#0012811,7082,2,GLVT022-CHM-S,36,0,36,6,30
#0012870,6554,2,GLLG033-BK-S,31.5,0,31.5,0,31.5
#0012997,3858,2,GPT-GP-M,29.47,0,29.47,4.91,24.56
#0013007,9129,2,GMJG008-BK-L,32,0,32,5.33,26.67
#0013012,9325,2,GMASK001-BK,9.81,0,9.81,0,9.81
#0013012,9325,2,GMASK001-WH-OS,9.81,0,9.81,0,9.81
#0013042,1664,2,GLLG025-BK-S,21.46,0,21.46,0,21.46
#0013060,8434,2,GMUW001-GLM/BK-L,18,,18,3,15
#0013067,5600,2,GABG006-BK-OS,53.12,5.31,47.81,0,47.81
#0013067,5600,2,GABG010-BK-OS,37.94,3.79,34.15,0,34.15
#0013152,8127,2,GLLG064-BK-S,0,0,0,0,0
#0013197,6256,2,GLLG004-GLM/MG-XS,60.87,,60.87,0,60.87
#0013219,1257,2,GMST010-AG-M,28.84,,25.96,0,25.96
#0013241,2889,2,GLLG1828-BK-S,72,0,72,12,60
#0013248,1728,2,GLLG2054-BK-L,76.85,0,76.85,0,76.85
#0013250,3793,2,GMSH006-BK-S,40,0,40,6.67,33.33
#0013250,3793,2,GMST032-BK-S,36,0,36,6,30
#0013250,3793,2,GMST032-SLD-S,36,0,36,6,30
#0013284,6189,2,GLLG015-DPKM/CH-S,41.37,0,41.37,0,41.37
#0013487,1785,2,GMST3192-BK-L,29.93,2.99,26.94,0,26.94
#0013580,2608,2,GMJG020-BKM-L,36,0,36,6,30
#0013590,6720,2,GALS3385-BK-OS,15.54,0,15.54,0,15.54
#0013717,3379,2,GMTK001-SB/WH-L,22.52,0,22.52,0,22.52
#0013723,3445,2,GABT004-2.2L,16,0,16,2.67,13.33
#0013725,8647,2,GMASK003-BK,18.25,0,18.25,0,18.25
#0013784,5769,2,GLJG003-BK-XS,66.09,0,66.09,11.47,54.62
#0013835,2494,2,GMUW001-BK/BK-M,18.46,,18.46,0,18.46
#0013835,2494,2,GMUW001-GLM/BK-M,18.46,,18.46,0,18.46
#0013866,7771,2,GSB-BL,7.98,0.8,7.18,1.2,5.98
#0013920,5691,2,GLLG016-BTM-M,76.91,,76.91,0,76.91
#0013941,2424,2,GMST3194-LKH-M,30.57,0,30.57,0,30.57
#0014045,1728,2,GLLG015-CHM/DKT-L,58.96,0,58.96,0,58.96
#0014107,5259,2,GLLG016-BTM-S,76.91,,76.91,0,76.91
#0014107,5259,2,GLLG028-CH/CB-S,55.37,,55.37,0,55.37
#0014194,5191,2,GABT006-BK-OS,16,0,16,2.67,13.33
#0014205,988,2,GLSB024-DKRM/BSN-S,53.88,0,53.88,0,53.88
#0014283,6570,2,GMSH006-BK-L,43.07,,43.07,0,43.07
#0014283,6570,2,GMTK021-BKM-XL,58.45,,58.45,0,58.45
#0014283,6570,2,GMTK021-SGM-L,58.45,,58.45,0,58.45
#0014283,6570,2,GMTK022-GLM-XL,39.99,,39.99,0,39.99
#0014283,6570,2,GMTK022-WH-L,39.99,,39.99,0,39.99
#0014283,6570,2,GMHD020-BK-L,69.22,,69.22,0,69.22
#0014283,6570,2,GMHD020-CHM-XL,69.22,,69.22,0,69.22
#0014283,6570,2,GMHD020-DB-L,69.22,,69.22,0,69.22
#0014283,6570,2,GMHD020-GLM-L,69.22,,69.22,0,69.22
#0014283,6570,2,GMJG008-BK-L,67.68,,67.68,0,67.68
#0014283,6570,2,GMST034-VR-L,33.84,,33.84,0,33.84
#0014283,6570,2,GMST032-BK-L,39.99,,39.99,0,39.99
#0014283,6570,2,GMST032-BK-XL,39.99,,39.99,0,39.99
#0014283,6570,2,GMST032-DB-L,39.99,,39.99,0,39.99
#0014283,6570,2,GMST034-CHM-L,33.84,,33.84,0,33.84
#0000001,3106,1,GLLG3139-BK-XS,39.9,0,39.9,7.98,31.92
#0000002,6129,1,GLSB017-KH-S,28.28,0,28.28,0,28.28
#0000002,6129,1,GLSB024-CH/DP-S,25.31,0,25.31,0,25.31
#0000002,6129,1,GLLG043-KH-S,37.21,0,37.21,0,37.21
#0000002,6129,1,GLSH014-CH/DP-S,25.31,0,25.31,0,25.31
#0000002,6129,1,GLCT014-CH/DP-L,26.79,0,26.79,0,26.79
#0000003,2922,1,GHL-COB-L,20.56,0,20.56,0,20.56
#0000004,9177,1,GLLG1830-PGPM-S,42.95,0,42.95,7.45,35.5
#0000004,9177,1,GLCT1854-BSN-M,30.08,0,30.08,5.22,24.86
#0000004,9177,1,GLSB3266-PGP/PGP/WH-S,21.48,0,21.48,3.73,17.75
#0000004,9177,1,GLSH2068-TP-S,21.48,0,21.48,3.73,17.75
#0000004,9177,1,GMST034-CTYE/WH-S,12.89,0,12.89,2.24,10.65
#0000005,638,1,GLLG025-DPL-XS,10.87,0,10.87,0,10.87
#0000005,638,1,GLLG025-SB-XS,10.87,0,10.87,0,10.87
#0000006,5136,1,GLLG012-CHM-M,36,,36,6,30
#0000007,4626,1,GLLG039-PW-M,34.07,0,34.07,0,34.07
#0000007,4626,1,GLLG049-BK/BKM-M,38.52,0,38.52,0,38.52
#0000009,7132,1,GLLG1830-BKM-S,38.48,0,38.48,0,38.48
#0000009,7132,1,GLCT1847-BKM-M,26.93,0,26.93,0,26.93
#0000009,7132,1,GLSB1879-BK-M,30.78,0,30.78,0,30.78
#0000010,8327,1,GLSB036-BK/GL-S,31.49,0,31.49,5.25,26.24
#0000010,8327,1,GLLG082-BK/GL-S,45.48,0,45.48,7.58,37.9
#0000011,4681,1,GMPO003-BK-XXL,32.9,0,32.9,0,32.9
#0000011,4681,1,GMST032-BK-XXL,16.45,0,16.45,0,16.45
#0000011,4681,1,GMST032-CHM-XXL,16.45,0,16.45,0,16.45
#0000011,4681,1,GMST032-GLM-XXL,16.45,0,16.45,0,16.45
#0000012,5942,1,GMBT3252-BK-M,30.13,0,30.13,0,30.13
#0000013,7592,1,GLLG052-PLL-S,42.64,0,42.64,7.97,34.67
#0000016,4908,1,GAPC001-BK,4.55,0,4.55,0,4.55
#0000016,4908,1,GMPO014-CHM-S,17.08,0,17.08,0,17.08
#0000016,4908,1,GMLT020-BKM-S,16.7,0,16.7,0,16.7
#0000017,1781,1,GAHW3371-BK/BK-OS,23.83,0,23.83,0,23.83
#0000020,8209,1,GMHD014-BK/GM-M,34.44,0,34.44,0,34.44
#0000021,7025,1,GLSB023-BK/WH-S,22,0,22,3.67,18.33
#0000021,7025,1,GLLG028-BK/WH-S,30,0,30,5,25
#0000021,7025,1,GLVT027-BK-S,20,0,20,3.33,16.67
#0000022,9054,1,GMHD021-CHM-L,19,0,19,3.17,15.83
#0000023,8805,1,GMSH027-BK-M,35.35,0,35.35,6.13,29.22
#0000024,7015,1,GMSH2004-BK-XL,23.26,0,23.26,0,23.26
#0000024,7015,1,GMJG008-BK-XL,31.01,0,31.01,0,31.01
#0000024,7015,1,GMST034-BK-XL,13.95,0,13.95,0,13.95
#0000025,2369,1,GLCT1847-PGPM-M,26.4,2.85,23.55,0,23.55
#0000025,2369,1,GLSB027-WKH-S,33.95,3.67,30.28,0,30.28
#0000025,2369,1,GLLG062-WKH-S,41.49,4.49,37,0,37
#0000025,2369,1,GLLG1824-PGP/DMG-S,37.72,4.08,33.64,0,33.64
#0000027,3393,1,GLLG058-BKM/CH-XS,13.71,0,13.71,0,13.71
#0000027,3393,1,GLLG058-PHC-XS,21.93,0,21.93,0,21.93
#0000027,3393,1,GABT004-2.2L,9.14,0,9.14,0,9.14
#0000027,3393,1,GLLG021-BK/GL-XS,16.75,0,16.75,0,16.75
#0000028,2925,1,GLLG043-BK-S,19.48,1.95,17.53,0,17.53
#0000028,2925,1,GLCT007-SKY-S,15.58,1.56,14.02,0,14.02
#0000028,2925,1,GLCT011-KH-S,14.02,1.4,12.62,0,12.62
#0000028,2925,1,GLCT011-PHCM-S,14.02,1.4,12.62,0,12.62
#0000028,2925,1,GLCT023-BK/GL-S,15.58,1.56,14.02,0,14.02
#0000028,2925,1,GLJK004-BK-M,35.06,3.51,31.55,0,31.55
#0000029,7417,1,GMB002-BB/WH-L,13.77,0,13.77,2.3,11.48
#0000029,7417,1,GMB002-BK/WH-M,13.76,0,13.76,2.29,11.47
#0000029,7417,1,GMB002-GM/BK-M,13.77,0,13.77,2.3,11.48
#0000029,7417,1,GMB002-NV/WH-M,13.77,0,13.77,2.3,11.48
#0000030,6206,1,GMJG008-BK-M,32,0,32,5.33,26.67
#0000033,2006,1,GMJG008-BK-M,23.81,0,23.81,4.76,19.05
#0000033,2006,1,GMLT027-BKM-M,17.86,0,17.86,3.57,14.29
#0000034,1108,1,GMPO014-PT-L,23.17,0,23.17,0,23.17
#0000034,1108,1,GMHD028-CHM-L,33.1,0,33.1,0,33.1
